web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680878348-884","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 17 Diciembre 2022","21:00","Nubes dispersas","19°","11 km/h","73%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2022.html"
"1680878348-885","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 17 Diciembre 2022","21:30","Nubes dispersas","18°","11 km/h","77%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2022.html"
"1680878348-886","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 17 Diciembre 2022","22:00","Nubes dispersas","18°","11 km/h","77%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2022.html"
"1680878348-887","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 17 Diciembre 2022","22:30","Nubes dispersas","18°","11 km/h","77%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2022.html"
"1680878348-888","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 17 Diciembre 2022","23:00","Nubes dispersas","18°","11 km/h","77%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2022.html"
"1680878348-889","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 17 Diciembre 2022","23:30","Parcialmente cubierto","18°","13 km/h","77%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2022.html"
"1680878350-890","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","00:00","Mayormente cubierto","18°","11 km/h","77%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-891","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-892","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","00:30","Parcialmente cubierto","19°","11 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-893","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","01:00","Parcialmente cubierto","18°","9 km/h","77%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-894","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","01:30","Parcialmente cubierto","18°","11 km/h","77%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-895","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","02:00","Nubes dispersas","18°","11 km/h","83%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-896","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","02:30","Nubes dispersas","18°","11 km/h","83%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-897","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","03:00","Mayormente cubierto","18°","11 km/h","77%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-898","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","03:30","Mayormente cubierto","19°","9 km/h","78%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-899","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","04:00","Mayormente cubierto","19°","9 km/h","78%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-900","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","04:30","Mayormente cubierto","19°","7 km/h","83%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-901","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","05:00","Mayormente cubierto","19°","4 km/h","83%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-902","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","05:30","Mayormente cubierto","20°","4 km/h","78%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-903","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","06:00","Mayormente cubierto","20°","11 km/h","78%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-904","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","06:30","Mayormente cubierto","20°","9 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-905","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","07:00","Mayormente cubierto","20°","11 km/h","78%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-906","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","07:30","Parcialmente cubierto","20°","9 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-907","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","08:00","Parcialmente cubierto","20°","9 km/h","78%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-908","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","08:30","Nubes dispersas","20°","7 km/h","78%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-909","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","09:00","Nubes dispersas","21°","7 km/h","73%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-910","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","09:30","Parcialmente cubierto","21°","7 km/h","73%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-911","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","10:00","Mayormente cubierto","21°","6 km/h","73%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-912","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","10:30","Mayormente cubierto","21°","4 km/h","78%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-913","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","11:00","Mayormente cubierto","22°","11 km/h","69%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-914","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","11:30","Mayormente cubierto","22°","15 km/h","64%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-915","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","12:00","Mayormente cubierto","22°","13 km/h","60%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-916","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","12:30","Mayormente cubierto","22°","13 km/h","60%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-917","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","13:00","Parcialmente cubierto","22°","13 km/h","60%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-918","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","13:30","Nubes dispersas","22°","9 km/h","64%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-919","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","14:00","Nubes dispersas","22°","11 km/h","64%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-920","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","14:30","Nubes dispersas","22°","13 km/h","64%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-921","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","15:00","Nubes dispersas","22°","13 km/h","64%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-922","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","15:30","Nubes dispersas","22°","11 km/h","64%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-923","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","16:00","Despejado","22°","9 km/h","64%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-924","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","16:30","Despejado","21°","7 km/h","69%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-925","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","17:00","Despejado","21°","9 km/h","69%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-926","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","17:30","Despejado","21°","7 km/h","69%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-927","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","18:00","Despejado","21°","7 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-928","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","18:30","Despejado","20°","9 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-929","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","19:00","Despejado","20°","9 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-930","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","19:30","Despejado","19°","9 km/h","78%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-931","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","20:00","Despejado","19°","11 km/h","78%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-932","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","20:30","Despejado","19°","11 km/h","78%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-933","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","21:00","Despejado","19°","11 km/h","78%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-934","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","21:30","Despejado","19°","11 km/h","78%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-935","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","22:00","Despejado","19°","9 km/h","73%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-936","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","22:30","Despejado","18°","11 km/h","83%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-937","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","23:00","Despejado","18°","13 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878350-938","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Domingo 18 Diciembre 2022","23:30","Despejado","18°","13 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2022.html"
"1680878353-939","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","00:00","Despejado","18°","13 km/h","83%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-940","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-941","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","00:30","Despejado","17°","9 km/h","82%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-942","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","01:00","Despejado","17°","9 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-943","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","01:30","Despejado","17°","11 km/h","68%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-944","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","02:00","Despejado","18°","13 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-945","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","02:30","Despejado","18°","13 km/h","68%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-946","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","03:00","Despejado","18°","13 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-947","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","03:30","Despejado","17°","15 km/h","82%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-948","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","04:00","Nubes dispersas","18°","13 km/h","88%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-949","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","04:30","Nubes dispersas","18°","13 km/h","94%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-950","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","05:00","Nubes dispersas","18°","11 km/h","94%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-951","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","05:30","Nubes dispersas","18°","11 km/h","88%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-952","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","06:00","Nubes dispersas","18°","11 km/h","88%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-953","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","06:30","Nubes dispersas","18°","11 km/h","88%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-954","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","07:00","Despejado","18°","11 km/h","83%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-955","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","07:30","Nubes dispersas","18°","7 km/h","88%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-956","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","08:00","Nubes dispersas","17°","6 km/h","82%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-957","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","08:30","Nubes dispersas","19°","7 km/h","73%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-958","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","09:00","Nubes dispersas","20°","6 km/h","78%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-959","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","09:30","Nubes dispersas","21°","4 km/h","73%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-960","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","10:00","Despejado","22°","2 km/h","73%","1024 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-961","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","10:30","Despejado","23°","2 km/h","69%","1024 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-962","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","11:00","Despejado","23°","4 km/h","65%","1024 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-963","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","11:30","Despejado","23°","2 km/h","65%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-964","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","12:00","Despejado","23°","4 km/h","69%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-965","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","12:30","Despejado","23°","7 km/h","65%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-966","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","13:00","Despejado","23°","7 km/h","65%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-967","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","13:30","Despejado","23°","9 km/h","61%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-968","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","14:00","Despejado","23°","9 km/h","61%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-969","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","14:30","Despejado","23°","9 km/h","65%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-970","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","15:00","Despejado","23°","7 km/h","69%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-971","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","15:30","Despejado","23°","9 km/h","69%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-972","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","16:00","Despejado","23°","7 km/h","69%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-973","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","16:30","Despejado","23°","7 km/h","69%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-974","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","17:00","Despejado","22°","6 km/h","73%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-975","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","17:30","Despejado","22°","4 km/h","73%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-976","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","18:00","Despejado","22°","6 km/h","73%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-977","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","18:30","Despejado","21°","7 km/h","78%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-978","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","19:00","Despejado","21°","6 km/h","78%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-979","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","19:30","Despejado","20°","6 km/h","83%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-980","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","20:00","Despejado","20°","7 km/h","78%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-981","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","20:30","Despejado","20°","7 km/h","78%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-982","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","21:00","Despejado","20°","7 km/h","78%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-983","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","21:30","Despejado","19°","7 km/h","78%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-984","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","22:00","Despejado","19°","6 km/h","78%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-985","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","22:30","Nubes dispersas","19°","7 km/h","78%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-986","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","23:00","Nubes dispersas","19°","7 km/h","83%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878353-987","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Lunes 19 Diciembre 2022","23:30","Despejado","19°","11 km/h","83%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2022.html"
"1680878356-988","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","00:00","Nubes dispersas","20°","13 km/h","53%","1023 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-989","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-990","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","00:30","Nubes dispersas","20°","11 km/h","46%","1022 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-991","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","01:00","Despejado","18°","4 km/h","52%","1022 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-992","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","01:30","Despejado","17°","En calma","59%","1022 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-993","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","02:00","Despejado","18°","2 km/h","52%","1022 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-994","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","02:30","Despejado","18°","7 km/h","49%","1022 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-995","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","03:00","Despejado","18°","4 km/h","45%","1023 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-996","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","03:30","Nubes dispersas","18°","9 km/h","49%","1023 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-997","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","04:00","Nubes dispersas","18°","11 km/h","45%","1023 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-998","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","04:30","Despejado","19°","6 km/h","43%","1023 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-999","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","05:00","Despejado","17°","9 km/h","52%","1023 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-1000","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","05:30","Nubes dispersas","18°","9 km/h","49%","1023 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-1001","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","06:00","Despejado","18°","9 km/h","52%","1023 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
"1680878356-1002","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Martes 20 Diciembre 2022","06:30","Despejado","19°","11 km/h","52%","1024 hPa","https://www.tutiempo.net/registros/gclp/20-diciembre-2022.html"
