web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680878308-125","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","11:30","Parcialmente cubierto","22°","20 km/h","69%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-126","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","12:00","Parcialmente cubierto","23°","26 km/h","61%","1014 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-127","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","12:30","Parcialmente cubierto","24°","24 km/h","61%","1013 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-128","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","13:00","Nubes dispersas","24°","26 km/h","54%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-129","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","13:30","Nubes dispersas","24°","26 km/h","50%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-130","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","14:00","Nubes dispersas","24°","33 km/h","54%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-131","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","14:30","Nubes dispersas","24°","32 km/h","50%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-132","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","15:00","Nubes dispersas","24°","33 km/h","54%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-133","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","15:30","Nubes dispersas","24°","35 km/h","50%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-134","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","16:00","Nubes dispersas","23°","32 km/h","53%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-135","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","16:30","Nubes dispersas","23°","26 km/h","53%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-136","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","17:00","Nubes dispersas","22°","28 km/h","60%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-137","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","17:30","Llovizna","20°","24 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-138","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","18:00","Llovizna","20°","17 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-139","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","18:30","Parcialmente cubierto","20°","26 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-140","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","19:00","Nubes dispersas","20°","20 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-141","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","19:30","Nubes dispersas","20°","19 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-142","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","20:00","Nubes dispersas","20°","20 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-143","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","20:30","Parcialmente cubierto","20°","13 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-144","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","21:00","Nubes dispersas","19°","13 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-145","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","21:30","Nubes dispersas","19°","13 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-146","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","22:00","Nubes dispersas","19°","17 km/h","83%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-147","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","22:30","Parcialmente cubierto","19°","13 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-148","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","23:00","Nubes dispersas","19°","15 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878308-149","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Viernes 2 Diciembre 2022","23:30","Nubes dispersas","19°","11 km/h","73%","1012 hPa","https://www.tutiempo.net/registros/gclp/2-diciembre-2022.html"
"1680878311-150","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","00:00","Parcialmente cubierto","19°","9 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-151","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-152","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","00:30","Parcialmente cubierto","18°","7 km/h","77%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-153","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","01:00","Parcialmente cubierto","18°","7 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-154","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","01:30","Parcialmente cubierto","18°","9 km/h","88%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-155","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","02:00","Parcialmente cubierto","19°","15 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-156","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","02:30","Mayormente cubierto","19°","9 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-157","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","03:00","Mayormente cubierto","19°","7 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-158","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","03:30","Mayormente cubierto","19°","7 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-159","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","04:00","Mayormente cubierto","19°","4 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-160","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","04:30","Parcialmente cubierto","19°","2 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-161","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","05:00","Parcialmente cubierto","18°","2 km/h","77%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-162","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","05:30","Parcialmente cubierto","18°","6 km/h","77%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-163","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","06:00","Mayormente cubierto","19°","9 km/h","78%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-164","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","06:30","Parcialmente cubierto","19°","6 km/h","73%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-165","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","07:00","Parcialmente cubierto","18°","7 km/h","77%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-166","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","07:30","Mayormente cubierto","19°","7 km/h","78%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-167","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","08:00","Mayormente cubierto","19°","7 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-168","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","08:30","Mayormente cubierto","20°","En calma","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-169","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","09:00","Llovizna","19°","19 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-170","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","09:30","Mayormente cubierto","19°","13 km/h","83%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-171","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","10:00","Mayormente cubierto","20°","15 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-172","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","10:30","Parcialmente cubierto","20°","19 km/h","78%","1012 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-173","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","11:00","Mayormente cubierto","21°","13 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-174","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","11:30","Mayormente cubierto","21°","17 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-175","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","12:00","Mayormente cubierto","21°","20 km/h","78%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-176","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","12:30","Mayormente cubierto","21°","19 km/h","73%","1011 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
"1680878311-177","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Sábado 3 Diciembre 2022","13:00","Mayormente cubierto","21°","17 km/h","69%","1010 hPa","https://www.tutiempo.net/registros/gclp/3-diciembre-2022.html"
